Fabricante;SERVICIO Y/O SISTEMA GESTIONADO;GESTOR;TEXTO 1 DE LA ALARMA;TEXTO 2 DE LA ALARMA;TEXTO 3 DE LA ALARMA;TEXTO 4 DE LA ALARMA;BAJA / ALTA / BLOQUEO;DOMINIO;SEVERIDAD;"KM
(TITULO DEL INSTRUCTIVO)";TIER 1;TIER 2;TIER 3;TIPO DE ALARMA;GRUPO DE ATENCIÓN;CRITICIDAD;DUEÑO DE PLATAFORMA;PANEL NETCOOL
Huawei;AAA Huawei;NETCOOL;1003;Module Fault; ; ;ALTA;Domain amx_ns:.DOM.COLM_TRIARA_U2000_DOM;AFECTACION;;;;;GENERAL;BO CORE;;EDISON GONZALEZ;AEL PACKET CORE VAS II
Huawei;AAA Huawei;NETCOOL;1005;Board CPU Overload; ; ;ALTA;Domain amx_ns:.DOM.COLM_TRIARA_U2000_DOM;AFECTACION;;;;;GENERAL;BO CORE;;EDISON GONZALEZ;AEL PACKET CORE VAS II
Huawei;AAA Huawei;NETCOOL;1009;Free Storage Space Insufficient; ; ;ALTA;Domain amx_ns:.DOM.COLM_TRIARA_U2000_DOM;AFECTACION;;;;;GENERAL;BO CORE;;EDISON GONZALEZ;AEL PACKET CORE VAS II
Huawei;AAA Huawei;NETCOOL;1015;SDM Absent; ; ;ALTA;Domain amx_ns:.DOM.COLM_TRIARA_U2000_DOM;AFECTACION;;;;;GENERAL;BO CORE;;EDISON GONZALEZ;AEL PACKET CORE VAS II
Huawei;AAA Huawei;NETCOOL;1022;Local RAID1 Fault; ; ;ALTA;Domain amx_ns:.DOM.COLM_TRIARA_U2000_DOM;AFECTACION;;;;;GENERAL;BO CORE;;EDISON GONZALEZ;AEL PACKET CORE VAS II
Huawei;AAA Huawei;NETCOOL;1023;Board Port Fault; ; ;ALTA;Domain amx_ns:.DOM.COLM_TRIARA_U2000_DOM;AFECTACION;;;;;GENERAL;BO CORE;;EDISON GONZALEZ;AEL PACKET CORE VAS II
Huawei;AAA Huawei;NETCOOL;1030;Local Storage Medium Fault; ; ;ALTA;Domain amx_ns:.DOM.COLM_TRIARA_U2000_DOM;AFECTACION;;;;;GENERAL;BO CORE;;EDISON GONZALEZ;AEL PACKET CORE VAS II
Huawei;AAA Huawei;NETCOOL;1039;Subrack Number Conflict; ; ;ALTA;Domain amx_ns:.DOM.COLM_TRIARA_U2000_DOM;AFECTACION;;;;;GENERAL;BO CORE;;EDISON GONZALEZ;AEL PACKET CORE VAS II
Huawei;AAA Huawei;NETCOOL;1104;Base Plane Packet Error and Loss; ; ;ALTA;Domain amx_ns:.DOM.COLM_TRIARA_U2000_DOM;AFECTACION;;;;;GENERAL;BO CORE;;EDISON GONZALEZ;AEL PACKET CORE VAS II
Huawei;AAA Huawei;NETCOOL;1105;Fabric Plane Packet Error and Loss; ; ;ALTA;Domain amx_ns:.DOM.COLM_TRIARA_U2000_DOM;AFECTACION;;;;;GENERAL;BO CORE;;EDISON GONZALEZ;AEL PACKET CORE VAS II
